,class_code,class_name,class_filled,class_capacity
0,CSE 142,COMPUTER PRGRMNG I,519,555
1,CSE 142,COMPUTER PRGRMNG I,285,355
2,CSE 143,COMPUTER PRGRMNG II ,330,400
3,CSE 143,COMPUTER PRGRMNG II ,135,235
4,CSE 143,COMPUTER PRGRMNG II ,63,72
5,CSE 154,WEB PROGRAMMING,105,140
6,CSE 160,DATA PROGRAMMING,207,224
7,CSE 190,CURRENT TOPICS CSE,0,25
8,CSE 190,CURRENT TOPICS CSE,279,400
9,CSE 190,CURRENT TOPICS CSE,28,40
10,CSE 190,CURRENT TOPICS CSE,0,40
11,CSE 190,CURRENT TOPICS CSE,20,40
12,CSE 190,CURRENT TOPICS CSE,40,43
13,CSE 190,CURRENT TOPICS CSE,39,43
14,CSE 190,CURRENT TOPICS CSE,26,40
15,CSE 190,CURRENT TOPICS CSE,30,40
16,CSE 190,CURRENT TOPICS CSE,16,40
17,CSE 190,CURRENT TOPICS CSE,11,40
18,CSE 190,CURRENT TOPICS CSE,0,40
19,CSE 190,CURRENT TOPICS CSE,0,40
20,CSE 190,CURRENT TOPICS CSE,0,40
21,CSE 190,CURRENT TOPICS CSE,0,40
22,CSE 190,CURRENT TOPICS CSE,19,40
23,CSE 190,CURRENT TOPICS CSE,29,35
24,CSE 190,CURRENT TOPICS CSE,0,55
25,CSE 190,CURRENT TOPICS CSE,28,50
26,CSE 190,CURRENT TOPICS CSE,28,30
27,CSE 301,CSE INTERNSHIP,153,180
28,CSE 311,FOUNDATIONS COMP I,158,162
29,CSE 311,FOUNDATIONS COMP I,158,160
30,CSE 312,FOUNDATIONS COMP II ,151,155
31,CSE 331,SW DESIGN ,100,110
32,CSE 332,DATA STRUC ,131,140
33,CSE 333,SYSTEMS PROGRAMMING P,129,150
34,CSE 341,PROGRAMMING LANGSP,100,108
35,CSE 344,INTRO DATA MGMTP,109,110
36,CSE 351,HW SW INTERFACEP,192,195
37,CSE 351,HW SW INTERFACEP,95,100
38,CSE 351,HW SW INTERFACEP,12,15
39,CSE 351,HW SW INTERFACEP,10,12
40,CSE 371,DIGITAL DESIGNP,14,14
41,CSE 373,DATA STRUC,194,280
42,CSE 374,PROG CONCEPTS TOOLS P,75,105
43,CSE 390,SPECIAL TOPICS CSE,37,60
44,CSE 390,SPECIAL TOPICS CSE,48,60
45,CSE 390,SPECIAL TOPICS CSE,43,50
46,CSE 391,SOFTWARE TOOLSP,167,200
47,CSE 391,SOFTWARE TOOLSP,6,20
48,CSE 401,INT COMPILER CONSTR P,58,81
49,CSE 414,DATABASE SYSTEMSP,131,140
50,CSE 414,DATABASE SYSTEMSP,9,10
51,CSE 414,DATABASE SYSTEMSP,80,90
52,CSE 416,INTRO MACH LEARNING ,31,32
53,CSE 416,INTRO MACH LEARNING ,18,18
54,CSE 417,ALG ,71,105
55,CSE 421,INTRO TO ALGORITHMS P,138,150
56,CSE 427,COMP BIOLOGYP,32,60
57,CSE 440,INTRODUCTION TO HCI P,51,50
58,CSE 440,INTRODUCTION TO HCI P,13,10
59,CSE 442,DATA VISUALIZATIONP,129,130
60,CSE 446,MACHINE LEARNINGP,85,108
61,CSE 451,INTRO OPERATING SYS P,83,108
62,CSE 457,COMPUTER GRAPHICSP,44,90
63,CSE 458,COMPUTER ANIMATION,17,35
64,CSE 461,INTRO COMP NETWORKS P,95,110
65,CSE 469,COMPUTER ARCH IP,6,10
66,CSE 473,INTR TO ARTIF INTLL P,146,165
67,CSE 474,INTRO EMBEDDED SYSP,18,21
68,CSE 475,EMBEDDED CAPSTONEP,2,4
69,CSE 480,COMPUTER ETHICS SEM ,31,30
70,CSE 481,CAP SOFT DESIGNP,17,24
71,CSE 482,CAP SW DESIGN ,14,20
72,CSE 484,COMPUTER SECURITYP,142,148
73,CSE 486,INTRO SYNTH BIOP,9,10
74,CSE 490,SPECIAL TOPICS CSE,12,45
75,CSE 490,SPECIAL TOPICS CSE,29,60
76,CSE 490,SPECIAL TOPICS CSE,69,85
77,CSE 490,SPECIAL TOPICS CSE,58,75
78,CSE 490,SPECIAL TOPICS CSE,11,16
79,CSE 492,UGRAD SEMINAR,0,48
80,CSE 492,UGRAD SEMINAR,88,150
81,CSE 492,UGRAD SEMINAR,0,90
82,CSE 492,UGRAD SEMINAR,0,70
83,CSE 492,UGRAD SEMINAR,0,30
84,CSE 492,UGRAD SEMINAR,0,30
85,CSE 495,PROJECT PRACTICUM,4,30
86,CSE 498,SENIOR PROJECT,13,30
87,CSE 498,SENIOR PROJECT,15,30
88,CSE 499,READING ,29,60
89,CSE 507,REASONING FOR SW,14,30
90,CSE 519,CURRENT RESEARCH,190,235
91,CSE 519,CURRENT RESEARCH,2,195
92,CSE 520,COLLOQUIUM,217,235
93,CSE 520,COLLOQUIUM,0,100
94,CSE 520,COLLOQUIUM,0,200
95,CSE 521,DSGN,24,40
96,CSE 527,COMP BIO,25,50
97,CSE 535,OPTIMIZATION THEORY ,18,35
98,CSE 546,MACHINE LEARNINGP,78,108
99,CSE 550,COMPUTER SYSTEMSP,33,55
100,CSE 577,COMPUTER VISION,6,20
101,CSE 581,COMPUTER ETHICS,20,30
102,CSE 583,SOFTWR DEV DAT SCI,50,50
103,CSE 586,INTRO SYNTH BIOP,2,4
104,CSE 590,RESEARCH SEMINAR,0,45
105,CSE 590,RESEARCH SEMINAR,0,20
106,CSE 590,RESEARCH SEMINAR,25,25
107,CSE 590,RESEARCH SEMINAR,13,50
108,CSE 590,RESEARCH SEMINAR,0,30
109,CSE 590,RESEARCH SEMINAR,20,35
110,CSE 590,RESEARCH SEMINAR,0,50
111,CSE 590,RESEARCH SEMINAR,19,25
112,CSE 590,RESEARCH SEMINAR,0,20
113,CSE 590,RESEARCH SEMINAR,19,45
114,CSE 590,RESEARCH SEMINAR,0,25
115,CSE 590,RESEARCH SEMINAR,35,80
116,CSE 590,RESEARCH SEMINAR,0,30
117,CSE 590,RESEARCH SEMINAR,7,15
118,CSE 590,RESEARCH SEMINAR,0,25
119,CSE 590,RESEARCH SEMINAR,7,25
120,CSE 590,RESEARCH SEMINAR,0,30
121,CSE 590,RESEARCH SEMINAR,0,25
122,CSE 590,RESEARCH SEMINAR,36,50
123,CSE 590,RESEARCH SEMINAR,16,35
124,CSE 590,RESEARCH SEMINAR,21,25
125,CSE 590,RESEARCH SEMINAR,10,25
126,CSE 590,RESEARCH SEMINAR,12,20
127,CSE 590,RESEARCH SEMINAR,6,25
128,CSE 590,RESEARCH SEMINAR,15,25
129,CSE 590,RESEARCH SEMINAR,12,30
130,CSE 591,GROUP PROJECTS,1,20
131,CSE 591,GROUP PROJECTS,0,20
132,CSE 591,GROUP PROJECTS,0,5
133,CSE 591,GROUP PROJECTS,9,20
134,CSE 591,GROUP PROJECTS,0,40
135,CSE 591,GROUP PROJECTS,0,20
136,CSE 591,GROUP PROJECTS,0,25
137,CSE 591,GROUP PROJECTS,0,25
138,CSE 591,GROUP PROJECTS,1,20
139,CSE 591,GROUP PROJECTS,2,20
140,CSE 591,GROUP PROJECTS,1,20
141,CSE 591,GROUP PROJECTS,0,5
142,CSE 591,GROUP PROJECTS,0,30
143,CSE 591,GROUP PROJECTS,1,30
144,CSE 591,GROUP PROJECTS,3,25
145,CSE 591,GROUP PROJECTS,11,25
146,CSE 591,GROUP PROJECTS,0,15
147,CSE 591,GROUP PROJECTS,0,20
148,CSE 591,GROUP PROJECTS,0,25
149,CSE 591,GROUP PROJECTS,3,20
150,CSE 591,GROUP PROJECTS,0,20
151,CSE 591,GROUP PROJECTS,0,30
152,CSE 591,GROUP PROJECTS,0,10
153,CSE 591,GROUP PROJECTS,0,15
154,CSE 591,GROUP PROJECTS,0,35
155,CSE 591,GROUP PROJECTS,0,5
156,CSE 599,SPECIAL TOPICS,2,5
157,CSE 599,SPECIAL TOPICS,0,35
158,CSE 599,SPECIAL TOPICS,7,30
159,CSE 599,SPECIAL TOPICS,26,24
160,CSE 599,SPECIAL TOPICS,0,21
161,CSE 599,SPECIAL TOPICS,0,5
162,CSE 599,SPECIAL TOPICS,12,20
163,CSE 599,SPECIAL TOPICS,30,30
164,CSE 599,SPECIAL TOPICS,26,35
165,CSE 599,SPECIAL TOPICS,0,30
166,CSE 599,SPECIAL TOPICS,3,25
167,CSE 599,SPECIAL TOPICS,0,40
168,CSE 600,INDEPNDNT STDY,307,95
169,CSE 601,INTERNSHIP,78,70
170,CSE 700,MASTERS THESIS,0,30
171,CSE 800,DOCTORAL DISSERTATN ,69,60
